Model,Parameters,Accuracy,Accuracy (%),Training Time (s)
LeNet-5,62006,0.3149999976158142,31.49999976158142,4.037158523000016
AlexNet,2388298,0.26600000262260437,26.600000262260437,97.28743591900002
GoogleNet,637978,0.26899999380111694,26.899999380111694,65.19250591199989
VGG16,14781642,0.5019999742507935,50.199997425079346,88.56947157900004
ResNet50,23851274,0.5720000267028809,57.200002670288086,57.35248460699995
