Setting,Learning Rate,Batch Size,Epochs,Optimizer,Dense Units,Frozen Layers,Best Validation Accuracy,Test Accuracy,Training Time (s)
Baseline,0.001,32,10,Adam,128,All,0.30720001459121704,0.3046000003814697,26.43274903800011
Learning rate 0.0001,0.0001,32,10,Adam,128,All,0.28459998965263367,0.29319998621940613,26.28222665499993
Batch size 16,0.001,16,10,Adam,128,All,0.3073999881744385,0.30889999866485596,48.188733903999946
Batch size 64,0.001,64,10,Adam,128,All,0.3041999936103821,0.30979999899864197,15.69780928099999
Epochs 20,0.001,32,20,Adam,128,All,0.3073999881744385,0.31200000643730164,52.18111426199994
Optimizer SGD,0.001,32,10,SGD,128,All,0.28279998898506165,0.28380000591278076,22.55161638499999
Dense units 256,0.001,32,10,Adam,256,All,0.3093999922275543,0.3111000061035156,31.75355373499997
