Setting,Learning Rate,Batch Size,Epochs,Optimizer,Dense Units,Frozen Layers,Best Validation Accuracy,Test Accuracy,Training Time (s)
Baseline,0.001,32,10,Adam,128,All,0.30720001459121704,0.3046000003814697,26.43274903800011
Optimizer SGD,0.001,32,10,SGD,128,All,0.28279998898506165,0.28380000591278076,22.55161638499999
